X,Y,Bed
447010.0,-1089300.0,-199.65
447060.0,-1089100.0,-198.89
447110.0,-1089000.0,-205.72
447170.0,-1088800.0,-213.36
447220.0,-1088700.0,-213.99
447270.0,-1088600.0,-213.49
447320.0,-1088400.0,-218.78
447380.0,-1088300.0,-218.06
447430.0,-1088100.0,-201.04
447480.0,-1088000.0,-183.22
447530.0,-1087900.0,-173.81
447580.0,-1087700.0,-165.59
447640.0,-1087600.0,-156.74
447690.0,-1087500.0,-153.65
447740.0,-1087300.0,-157.14
447790.0,-1087200.0,-156.66
447850.0,-1087000.0,-158.19
447900.0,-1086900.0,-167.55
447950.0,-1086800.0,-171.98
448000.0,-1086600.0,-176.7
448060.0,-1086500.0,-177.3
448110.0,-1086300.0,-160.07
448160.0,-1086200.0,-147.26
448210.0,-1086100.0,-154.47
448260.0,-1085900.0,-162.02
448310.0,-1085800.0,-166.93
448360.0,-1085700.0,-169.74
448410.0,-1085500.0,-178.36
448450.0,-1085400.0,-195.74
448500.0,-1085200.0,-206.89
448540.0,-1085100.0,-221.2
448590.0,-1084900.0,-247.81
448630.0,-1084800.0,-274.72
448680.0,-1084700.0,-296.42
448720.0,-1084500.0,-302.53
448770.0,-1084400.0,-314.83
448810.0,-1084200.0,-392.35
448860.0,-1084100.0,-461.38
448900.0,-1083900.0,-449.82
448940.0,-1083800.0,-423.41
448980.0,-1083600.0,-412.19
449020.0,-1083500.0,-403.17
449060.0,-1083400.0,-401.23
449090.0,-1083200.0,-399.97
449130.0,-1083100.0,-394.32
